Story Date,Story URL,Headline,What (Claim),About Subject,About Person,Featured Image,Tags
8th May 2024,https://www.vishvasnews.com/politics/fact-check-bjp-leader-lal-krishna-advani-not-said-rahul-gandhi-is-hero-of-indian-politics/,"Fact Check: लालकृष्ण आडवाणी ने नहीं दिया राहुल गांधी पर कोई बयान, फर्जी दावा वायरल",आडवाणी ने राहुल गांधी को भारतीय राजनीति का नायक बताया है।,Lal krishna Advani statement on Rahul Gandhi,"Lal krishna Advani, Rahul Gandhi",https://www.vishvasnews.com/wp-content/uploads/2024/05/img-2-1.jpg,"BJP,Election Fact Check,Fact Check,Lal Krishna Advani,Loksabha Election 2024,Rahul Gandhi"
8th May 2024,https://www.vishvasnews.com/politics/fact-check-video-of-insult-to-the-tricolor-is-not-from-kerala-but-an-old-video-of-pakistan/,"Fact Check: तिरंगे के अपमान का यह वीडियो केरल का नहीं, पाकिस्तान का है पुराना मामला",तिरंगे के अपमान का यह वीडियो केरल का है।, Video of Tricolour Inslut,Kerala ,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-12.jpg,"Kerala,Loksabha Elections 2024,Pakistan,Tricolour,Viral Post,viral video"
8th May 2024,https://www.vishvasnews.com/viral/fact-check-viral-pictures-of-bjp-candidate-and-actress-rupali-ganguly-not-mithun-chakraborty-daughter-in-law/,"Fact Check: वायरल तस्वीरें एक्ट्रेस रुपाली गांगुली की हैं, मिथुन चक्रवर्ती की बहू की नहीं",तस्वीर में मिथुन चक्रवर्ती के साथ उनकी बहू है।,Mithun Chakraborty with his daughter in law,Rupali Ganguli,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-7.jpg,"BJP Candidate Viral Picture,Lok Sabha Election 2024,Mithun Chakraborty,Rupali Ganguly Fake Pictures,Rupali Ganguly Viral Pictures"
8th May 2024,https://www.vishvasnews.com/education/fact-check-aicte-free-laptop-scheme-for-students-viral-with-fake-claim/,"Fact Check : AICTE छात्रों के लिए नहीं चला रहा फ्री लैपटॉप योजना, वायरल दावा गलत",सरकार फ्री लैपटॉप योजना के तहत छात्रों को फ्री लैपटॉप दे रही है।।,Free laptop scheme,Modi Goverment,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-6.jpg,"AICTE,AICTE Free Laptop Scheme,fake news,free laptop scheme,Viral Claim,viral news"
8th May 2024,https://www.vishvasnews.com/politics/viral-picture-false-claim-links-president-nomination-to-pm-modi/,Fact Check : राष्ट्रपति द्रौपदी मुर्मू के नामांकन की तस्वीर को पीएम मोदी के नाम पर गलत दावे के साथ किया गया वायरल,मोदी के नामांकन में राष्‍ट्रपति ,President in PM Modi Nomination,"Naredra Modi, droupadi murmu",https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-5.jpg,"Lok Sabha Election 2024,PM Modi Fake Nomination,PM Modi Nomination,President Nomination News"
8th May 2024,https://www.vishvasnews.com/viral/fact-check-malabar-trust-scholarship-image-viral-with-false-communal-angle/,"Fact Check: मालाबार की स्कॉलरशिप सभी धर्मों की छात्राओं को प्रदान की जाती है, वायरल दावा गलत",केरल की मालाबार गोल्ड कंपनी केवल मुस्लिम छात्राओं को स्कॉलरशिप देती है।,malabar trust scholarship,malabar trust,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-2.jpg,"Fact Check,Malabar,Malabar Gold"
8th May 2024,https://www.vishvasnews.com/politics/fact-check-video-of-modi-modi-sloganeering-in-rahul-gandhis-presence-is-not-latest-feb-incident-from-jharkhand-viral-in-the-name-of-ayodhya/,Fact Check : राहुल गांधी की उपस्थिति में मोदी-मोदी के नारे लगने के इस वीडियो के साथ किया जा रहा दावा गलत है,रायबरेली से फार्म भरकर राहुल गांधी अयोध्या राम मंदिर दर्शन के लिए आये है। वायनाड चुनाव के दौरान यह कभी मंदिर नहीं गये।राम भक्तों ने इनके बहुरूपिए पन का दिया जबाब*मोदी मोदी* के नारे लगाकर विरोध किया।   *ऐसे बहरूपियों से सावधान रहें। ,Rahul Raebareli Nomination,Rahul Gandhi,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews1-86.jpg,"PM Modi,Raebareli,Raebareli Lok Sabha Seat,Rahul Gandhi"
8th May 2024,https://www.vishvasnews.com/viral/fact-check-picture-of-man-seen-trapped-in-electrical-wires-is-ai-generated/,Fact Check: बिजली के तारों में फंसे दिख रहे युवक की तस्वीर AI निर्मित है,बिजली के तारों में फंसे युवक की तस्वीर।,Electrician trapped in wires,AI Image,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews1-8.jpg,"AI Image,Artificial Intelligence,artificial intelligence creations"
8th May 2024,https://www.vishvasnews.com/politics/kanhaiya-kumar-fake-islam-conversion-video-goes-viral-know-the-truth-behind-the-news/,"Fact Check : कन्हैया कुमार ने नहीं अपनाया इस्लाम, पुराने वीडियो के साथ की गई छेड़छाड़",कांग्रेसी कन्हैया तो अब्दुल निकला भाई..,Kanhaiya kumar become muslim ,"Kanhaiya Kumar, Anti Muslim",https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_23-21.jpg,"Fact Check,Kanhaiya kumar,Kanhaiya Kumar Fake Conversion Video,Lok Sabha Chunav 2024"
8th May 2024,https://www.vishvasnews.com/politics/fact-check-lok-sabha-chunav-2024-fake-voting-allegations-video-against-army-soldier-goes-viral/,"Fact Check : सेना के जवान पर फर्जी वोटिंग का आरोप लगाते शख्स का वीडियो 5 साल पुराना, फेक दावे के साथ वायरल",सेना बीजेपी के लिए फर्जी वोटिंग करवा रही।,Army is doing fake voting for BJP,Army,https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews2.jpg,"Army soldier accused of fake voting,Fact Check,Fake voting allegations video,Lok Sabha Chunav 2024,viral video"
7th May 2024,https://www.vishvasnews.com/viral/fact-check-tamilnadu-pottalpudur-dargah-video-falsely-viral-as-tenkasi-temple-mosque/,Fact Check: तमिलनाडु की पोट्टलपुदुर दरगाह के वीडियो को मंदिर का बताकर किया जा रहा झूठा दावा,तमिलनाडु के तेनकासी में प्राचीन मंदिर को सरकार की मदद से मस्जिद में बदला जा रहा है।,Tamilnadu Tenkasi Temple,pottalpudur dargah,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-4.jpg,"Fact Check,pottalpudur dargah,tenkasi temple"
7th May 2024,https://www.vishvasnews.com/politics/viral-image-of-indira-gandhi-used-to-spread-false-communal-claims/,Fact Check : इंदिरा गांधी की तस्वीर एक बार फिर से झूठे सांप्रदायिक दावे के साथ वायरल,इंदिरा खान बुर्का और हिजाब में,Against Gandhi Family,"Indira Gandhi, Rahul Gandhi, Anti Islam",https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-3.jpg,"Fact Check,fake news,Indira Gandhi photo,Indira Gandhi Viral Image,Viral image of Indira Gandhi"
7th May 2024,https://www.vishvasnews.com/viral/fact-check-viral-photo-of-salman-khan-cleaning-farm-house-is-old/,Fact Check : अपने फार्म हाउस पर सफाई करते सलमान खान की पुरानी तस्वीर हालिया बताकर की जा रही है शेयर,सलमान खान ने पार्कों की साफ-सफाई के जागरूकता के लिए पार्क में झाड़ू लगाई।,Salman Khan cleaning image ,Salman Khan,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-6-1.jpg,"Fact Check,Salman khan,Salman Khan cleaning farm house,Salman Khan farm house photo,Salman Khan latest news,Salman Khan News,Salman Khan viral photo"
7th May 2024,https://www.vishvasnews.com/world/fact-check-viral-video-is-not-of-volcano-erupting-in-indonesia-old-clip-from-guatemala-goes-viral/,"Fact Check: इंडोनेशिया में ज्वालामुखी फटने का नहीं है ये वीडियो, ग्वाटेमाला की पुरानी क्लिप वायरल",इंडोनेशिया में फटे ज्वालामुखी का वीडियो.,Indonesia volacano ,Guatemala,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_23-18.jpg,"Guatemala,Indonesia,Indonesia Volcano"
7th May 2024,https://www.vishvasnews.com/politics/fact-check-rahul-gandhi-edited-video-viral-related-to-london-statement-during-loksabha-election-2024/,"Fact Check: राहुल गांधी ने नीरव मोदी और मेहुल चोकसी के लंदन जाने की बात की थी, पुराना वीडियो गलत दावे से वायरल",राहुल गांधी ने कहा कि वह तो लंदन चले जाएंगे और उनके बच्चे लंदन में पढ़ेंगे।,Rahul Gandhi statement on London shifting,Rahul Gandhi,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-1.jpg,"Election Fact Check,Fact Check,Loksabha Election 2024,London,Rahul Gandhi"
7th May 2024,https://www.vishvasnews.com/viral/fact-check-the-person-seen-in-the-video-is-not-a-muslim-scholar-but-a-hindu/,"Fact Check: मुस्लिम स्कॉलर नहीं, बल्कि हिंदू युवक है वीडियो में नजर आ रहा शख्स",वायरल वीडियो में नजर आ रहे व्यक्ति एक मुस्लिम स्कॉलर हैं।,Muslim scholar speaking about against muslims,Muslim scholar ,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-2.jpg,"Muslim Scholar,Muslims,viral video"
7th May 2024,https://www.vishvasnews.com/english/politics/fact-check-woman-praising-pm-modi-in-viral-video-is-not-cpim-leader-subhashini-ali/,Fact Check: Woman Praising PM Modi In Viral Video Is Not CPI(M) Leader Subhashini Ali,"Instead of Rahul Gandhi, the country should vote for Prime Minister Modi.” While sharing this post, he wrote in the caption, “What did senior CPM leader Subhashini Ali say about Rahul Gandhi and Modi?",Loksabh Elections 2024,  (CPI)M leader Subashini Ali,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-14-1.jpg,"BJP,CPM,PM Modi,Subhashini Ali"
7th May 2024,https://www.vishvasnews.com/politics/fact-check-did-bsp-leader-mayawati-really-appeal-to-vote-for-bjp-viral-video-debunked/,"Fact Check : मायावती ने नहीं की बीजेपी को वोट देने की अपील, वायरल वीडियो एडिटेड","मायावती ने की बीजेपी को वोट देने की अपील,",Mayawati Say give vote to BJP,BSP Leader Mayawati,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-4.jpg,"Fact Check,Lok Sabha Chunav 2024,Mayawati BJP support video clarified,Mayawati BJP vote appeal debunked,viral video"
7th May 2024,https://www.vishvasnews.com/politics/fact-check-cm-yogis-viral-video-has-no-connection-with-lok-sabha-elections-2024/,Fact Check : सीएम योगी के वायरल वीडियो का नहीं है लोकसभा चुनाव 2024 से कोई संबंध,छात्र नौजवानों को योगी जी मंच से खुली धमकी दे रहे हैं,Against CM Yogi,Yogi AdityaNath,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-1-1.jpg,"BJP,Lok Sabha Election 2024,Uttar Pradesh,Yogi Adityanath"
7th May 2024,https://www.vishvasnews.com/politics/fact-check-old-picture-from-china-is-being-viral-as-aaps-gujarat-rally/,Fact Check : चीन की पुरानी तस्वीर को आप की गुजरात रैली का बताकर किया जा रहा है वायरल,"अरविंद केजरीवाल जी की साजिशन गिरफ्तारी के खिलाफ सड़कों पर उतरी गुजरात की जनता। सुनीता केजरीवाल जी के Road Show में उमड़ा जनसैलाब। जनता ने मन बना लिया है, इस बार ‘जेल का जवाब वोट से।",Gujarat AAP Rally,Sunita Kejriwal,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-2-3.jpg,"AAP,AAP Gujarat,Arvind kejriwal"
7th May 2024,https://www.vishvasnews.com/politics/fact-check-false-claim-about-om-birlas-daughter-goes-viral-again/,Fact Check: ओम बिरला की बेटी को लेकर गलत दावा फिर वायरल,लोकसभा अध्यक्ष ओम बिरला की बेटी अंजली बिरला को बगैर परीक्षा दिए IAS बना दिया गया।,UPSC,"Om Birla, Anjali Birla",https://www.vishvasnews.com/wp-content/uploads/2024/05/vishvasnews1-85.jpg,"Loksabha Election,Om Birla"
6th May 2024,https://www.vishvasnews.com/politics/fact-check-congress-president-mallikarjun-kharge-rally-video-of-ahmedabad-viral-with-false-claim-during-loksabha-election-2024/,Fact Check: मल्लिकार्जुन खड़गे के पीएम मोदी पर निशाना साधने वाले बयान का अधूरा वीडियो वायरल कर किया जा रहा गलत दावा,मल्लिकार्जुन खड़गे ने कहा कि कांग्रेस वाले आपके घर में घुसकर संपत्ति निकालकर मुस्लिमों को दे देंगे।,congress president rally of Ahmedabad,mallikarjun kharge ,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0-1.jpg,"Fact Check, Congress, Mallikarjun Kharge"
6th May 2024,https://www.vishvasnews.com/politics/priyanka-gandhi-edited-speech-viral-on-social-media-during-election-2024/,Fact Check : प्रियंका गांधी के भाषण के वीडियो से छेड़छाड़ करके गलत संदर्भ के साथ किया गया वायरल,प्रियंका गांधी ने कहा कि कुछ काम नहीं करने पर राजीव गांधी को डांट पड़ती थी,Priyanka Gandhi talk about her father,"Priyanka Gandhi, Rajiv Gandhi",https://www.vishvasnews.com/wp-content/uploads/2024/05/fake0.jpg,"Election 2024,LS Polls 2024,Priyanka Gandhi Edited Speech,Priyanka Gandhi Public Rally"
6th May 2024,https://www.vishvasnews.com/viral/fact-check-samajwadi-party-akhilesh-yadav-and-dimple-yadav-not-pay-tribute-to-maharana-pratap-statue-in-mainpuri-during-loksabha-election-2024/,Fact Check: मैनपुरी में महाराणा प्रताप की प्रतिमा को धोने का वीडियो भ्रामक दावे से वायरल,"अखिलेश और डिम्पल यादव ने मैनपुरी में महाराणा प्रताप की प्रतिमा पर माल्यार्पण किया, जिसके बाद भाजपा कार्यकर्ताओं ने प्रतिमा को धो दिया।",Samajwadi party leaders tribute to maharana pratap,"Akhilesh Yadav, Dimple Yadav",https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-3.jpg,"Akhilesh Yadav,Dimple Yadav,Election Fact Check,Loksabha Election 2024,Maharana Pratap Statue,Mainpuri,Samajwadi party"
6th May 2024,https://www.vishvasnews.com/politics/fact-check-viral-video-of-ed-raid-not-from-gujarat-but-kolkata-false-claims-circulate/,"Fact Check: ED की रेड का वायरल वीडियो गुजरात नहीं, बल्कि कोलकाता का है, फर्जी दावे से वायरल",गुजरात के सूरत मे देश की सबसे ईमानदार पार्टी आम आदमी पार्टी के ईमानदार नेता शेखर अग्रवाल के घर पर छापा पड़ा है।,ED raid Aam Aadmi Party leader's house,Shekhar Agarwal,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-6.jpg,"AAP,ED raid viral video Kolkata,Fact Check,Fake ED Raid News,Gujarat Raid Fake Video,Viral ED Raid Video"
6th May 2024,https://www.vishvasnews.com/english/politics/fact-check-viral-claim-alleging-congress-workers-burning-their-own-dhotis-while-trying-to-fire-modi-effigy-is-fake/,Fact Check: Viral Claim Alleging Congress Workers Burning Their Own Dhotis While Trying To Fire Modi Effigy Is Fake,the lungis of five Congress members caught fire while attempting to burn an effigy of Modi in Karnataka,Corgress workers burning lungi,Congress workers,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-10.jpg,"Congress,Lok Sabha elections 2024"
6th May 2024,https://www.vishvasnews.com/politics/false-claims-surrounding-viral-video-of-union-minister-arjun-ram-meghwal-exposed/,Fact Check : केंद्रीय मंत्री अर्जुन राम मेघवाल का पुराना और अधूरा वीडियो भ्रामक दावे के साथ वायरल,"परिवर्तन की लहर बहुत स्पष्ट है, कांग्रेस सरकार आ रही है। :- भाजपा सांसद अर्जुन राम मेघवाल",Pro Congress,Arjun Ram Meghwal,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-2-2.jpg,"Arjun Ram Meghwal,Arjun Ram Meghwal Video,Arjun Ram Meghwal viral video,Fact Check,fake news"
6th May 2024,https://www.vishvasnews.com/politics/fact-check-actress-kangana-ranaut-edited-video-goes-viral-amidst-lok-sabha-election-2024/,"Fact Check : कंगना रनोट के वीडियो से की गई छेड़छाड़, एडिटेट है वायरल वीडियो","कंगना ने मानी हार कहा, भीड़ वोट नहीं देगी, सिर्फ देखनी आती है।",Kangana Ranaut has accepted defeat in election,Kangana Ranaut,https://www.vishvasnews.com/wp-content/uploads/2024/05/fake-0-2-1.jpg,"Actress Kangana Ranaut,Fact Check,fake news,Kangana Ranaut Viral Video,Lok Sabha Election 2024,Uttarakhand Lok Sabha Election 2024,Uttarakhand Lok Sabha Seats"
6th May 2024,https://www.vishvasnews.com/viral/fact-check-fake-post-claiming-ebola-virus-is-present-in-cold-drinks-goes-viral-again/,Fact Check: कोल्‍ड ड्रिंक में इबोला वायरस होने के दावे करती फर्जी पोस्‍ट फिर वायरल,"कृपया इसे सभी मित्रों को अग्रेषित करें, यह जानकारी पूरे भारत में हैदराबाद पुलिस द्वारा दी गई है। कृपया कोई भी ठंडा पेय जैसे माज़ा, फैन्टा, 7 अप, कोका कोला, माउंटेन डीओ, पेप्सी इत्यादि न पियें। अगले कुछ दिनों तक क्योंकि कंपनी के एक कर्मचारी ने इसमे इबोला नाम के खतरनाक वायरस का दूषित खून मिला दिया है. ये खबर कल एनडीटीवी चैनल में बताई गई. कृपया इस संदेश को यथाशीघ्र अग्रेषित करके सहायता करें।",Ebola,Cold drink consumers,https://www.vishvasnews.com/wp-content/uploads/2024/05/Fake_News_24-16.jpg,"Cold Drinks,Ebola"
