Query,Top Matched Article
This is a flying duck orchid!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
Observe an orchid that takes the shape of a duck mid-flight!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
Presenting an orchid variety that mirrors a duck gliding through the air!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
This particular orchid bears a striking resemblance to a duck in flight!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated
Rahul Gandhi said he is a Muslim,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral"
Rahul Gandhi has reportedly identified himself with the Islamic faith.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral"
Statements attribute Rahul Gandhi's affirmation of being Muslim.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral"
Rahul Gandhi is quoted as acknowledging his Muslim identity.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral"
This is a case of Love Jihad,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case
This instance is indicative of the phenomenon known as 'Love Jihad'.,Fact Check: This video of the giant moon emerging from the sky is edited
The situation at hand is being described as a manifestation of Love Jihad.,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case
The circumstances suggest an occurrence of what is often referred to as Love Jihad.,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case
Yogendra Yadav is a Muslim and his real name is Salim,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
Claims suggest Yogendra Yadav's Islamic faith and his authentic name being Salim.,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
"It has been stated that Yogendra Yadav practices Islam, with Salim as his original name.",Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
"Assertions have been made regarding Yogendra Yadav's Muslim identity and his supposed real name, Salim.",Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims
Bollywood's famous comedian Tiku Talsania has accepted Islam,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral"
"It has been announced that Tiku Talsania, notable for his comedy in Bollywood, has converted to Islam.","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral"
"Tiku Talsania, a celebrated figure in Bollywood's comedic scene, has reportedly turned to Islam.","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral"
"News has surfaced about Tiku Talsania, a prominent Bollywood comedian, adopting the Islamic faith.","Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral"
Australian fan shouted Vande Matram after beating Pakistan,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023
An Australian supporter was heard exclaiming 'Vande Matram' subsequent to a victory over Pakistan.,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023
"Post victory against Pakistan, an Australian enthusiast was reported to have cried out 'Vande Matram'.",Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023
'Vande Matram' was the chant from an Australian fan following their win against Pakistan.,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023
This is what Bihar government is teaching in schools. Function of head: Lifting weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board
Instruction in Bihar's schools by the government includes that the head's function is to lift weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board
"Educational curricula in Bihar, as per government directives, lists weight lifting as a function of the head.",Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board
The Bihar administration's school teachings allegedly state that the human head is for lifting weights.,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board
"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict
"Ibrahim Hassun, a Facebook user, disseminated a trending video, asserting Ronaldo's support for Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict
"On Facebook, Ibrahim Hassun posted a widely-viewed video claiming Cristiano Ronaldo's solidarity with Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict
"A video shared by a user, Ibrahim Hassun, on Facebook went viral with claims of Ronaldo backing Palestine.",Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict
"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide
"Central authorities have withheld the bestowal of martyr recognition to Agniveers, affecting Amritpal Singh's military honors.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide
The Central Government's refusal to grant martyrdom status to Agniveers reportedly led to Amritpal Singh missing military accolades.,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide
"Due to the government's policy, Agniveers like Amritpal Singh are being denied the status of martyrs and military tributes.",Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide
PM Modi appealed to vote for Congress,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited"
Prime Minister Modi has made an appeal for casting votes in favor of the Congress party.,Fact Check: Old Video Of Prime Minister Modi Circulating With Misleading Claims About INDIA Alliance
There's been a call by PM Modi to the public to vote for Congress.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
PM Modi is said to have urged the electorate to support Congress at the polls.,Fact Check: Viral Photos Of PM Modi And US President Joe Biden Are AI-Generated
"Mosque demolished in Morocco, yet Azaan continues",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake
"Despite the demolition of a mosque in Morocco, the call to prayer persists.",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake
"Even after a mosque was torn down in Morocco, the Azaan can still be heard.",Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake
The Azaan remains audible in spite of a mosque's destruction in Morocco.,Fact-Check: Old Video Going Viral With Misleading Claims Linked To Morocco Earthquake
Fight between TDP and JSP leaders in Kakinada,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral"
Leaders from TDP and JSP were involved in a conflict in Kakinada.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral"
A confrontation occurred in Kakinada involving members of TDP and JSP.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral"
There was an altercation between representatives of TDP and JSP in Kakinada.,"Fact Check: People Seen Fighting In Video Were Members Of TDP, Fake Claim Regarding JSP Viral"
Jawan Leaked Action Scene,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan'
A purported action sequence from 'Jawan' has been leaked.,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan'
A clip showing an action scene from the movie 'Jawan' has surfaced online unexpectedly.,Fact Check: Video From 2018 Bengali Film Going Viral as glimpse of Shahrukh Khan starrer 'Jawaan'
Footage of an intense action segment from 'Jawan' was reportedly disclosed without authorization.,Fact Check: The video of the tapping exercise has nothing to do with Tata Memorial Hospital
"This Quran was found in the deep sea, still intact",Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea
A copy of the Quran was discovered preserved in the depths of the ocean.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea
An intact Quran was reportedly unearthed from the deep sea.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea
The Quran remains unscathed after being found submerged in the ocean's depths.,Fact Check: Crystallised Book Artwork Being Claimed As Holy Quran Recovered From Deep Sea
Group of trees look like the image of Prime Minister Modi,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated"
A cluster of trees bears a resemblance to Prime Minister Modi's likeness.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated"
The arrangement of certain trees appears to form the image of PM Modi.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated"
Trees have been spotted that curiously mirror the visage of Prime Minister Modi.,"Fact Check: This Image Of PM Modi, Emerging From The Group Of Trees, Is AI-Generated"
"Fresh snowfall in Daksum Kokernag on September 22, 2023",Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
Recent snow descended upon Daksum Kokernag on the twenty-second of September 2023.,Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
"Daksum Kokernag experienced a new blanket of snow on September 22, 2023.",Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
The area of Daksum Kokernag witnessed fresh snowfall late in September 2023.,Fact Check: Old Video Of Snowfall In JK Being Passed Off As Recent
"Kareena Kapoor Khan posts about Shami, Siraj and Wicket Jihad on X","Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page"
"Kareena Kapoor Khan took to social media platform X to discuss Shami, Siraj, and the concept of Wicket Jihad.","Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page"
"On platform X, Kareena Kapoor Khan shared her thoughts on Shami, Siraj, and the term 'Wicket Jihad'.","Fact Check: Kareena Kapoor Khan Not On X, Viral Post On Cricket Shared By Fan Page"
