Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Urvashi Kapoor,25th Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-video-of-doctor-beating-patient-is-not-from-kanpurs-hallet-hospital/,Fact Check: Video of doctor beating patient is not from Kanpur’s Hallet hospital,NA,FB User-Harshit Pandey,Video of doctor beating patient is from Kanpur’s Hallet hospital,Doctor beating patients,Doctors,English
Urvashi Kapoor,13th Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-old-pictures-of-treasures-in-italy-getting-viral-claiming-to-be-from-betul-madhya-pradesh/,"Fact Check: Old pictures of treasures in Italy getting viral claiming to be from Betul, Madhya Pradesh",NA,FB User: Devendra Sony,"Video of treasures in Betul, Madhya Pradesh",Treasure discovery,"Italy, Betul residents",English
Urvashi Kapoor,12th Jun 2019,https://www.vishvasnews.com/english/viral/fact-check-post-claiming-patanjali-products-banned-in-qatar-is-misleading/,Fact Check: Post claiming Patanjali products banned in Qatar is misleading,NA,Paras Solanki,Patanjali products banned in Qatar,Patanjali products ban,Patanjali product consumers,English
Urvashi Kapoor,12th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-consuming-banana-and-egg-is-deadly-combination-is-fake/,Fact Check: Post claiming consuming banana and egg is deadly combination is fake,NA,Fb User: Hector Terrero,Consuming banana and egg is deadly combination,Banana and egg consumption,"Banana, Egg consumers",English
Urvashi Kapoor,11th Jun 2019,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-didnt-wear-the-cap-the-viral-photo-is-photoshopped/,"Fact Check: PM Modi didn’t wear the cap, the viral photo is morphed",NA,FB User: Yogendra Tnb,Photo of PM Modi wearing the cap,PM Modi wearing Cap,PM Modi,English
Urvashi Kapoor,11th Jun 2019,https://www.vishvasnews.com/english/health/fact-check-post-showing-bananas-injected-with-hiv-blood-is-fake/,Fact Check: Post showing bananas injected with HIV blood is fake,NA,FB Page: Spiritual Warfare and Tactics Squad- SWATS,Bananas injected with HIV blood,Contaminated bananas,Banana consumers,English
Urvashi Kapoor,24th May 2019,https://www.vishvasnews.com/english/politics/fact-check-no-kanhaiya-kumar-doesnt-have-assets-worth-18-crores/,"Fact Check: No, Kanhaiya Kumar doesn’t have assets worth 18 crores",NA,Facebook User: Manoj Yadav,Kanhaiya Kumar have assets worth 18 crores,Kanhaiya Kumar assets,Kanhaiya Kumar,English
Urvashi Kapoor,21st May 2019,https://www.vishvasnews.com/english/health/fact-check-these-are-not-photos-of-a-man-with-an-artificial-heart/,Fact Check: These are not photos of a man with an artificial heart,NA,Mohd Azeem,Photos of a man with an artificial heart,Artificial heart,Patient,English
Urvashi Kapoor,21st May 2019,https://www.vishvasnews.com/english/viral/fact-check-no-courts-havent-quietly-confirmed-mmr-vaccine-causes-autism/,"Fact Check: No, courts haven’t quietly confirmed MMR vaccine causes autism",NA,alternativenewsnetwork,Courts have confirmed MMR vaccine causes autism,Effects of MMR vaccine,Children,English
Urvashi Kapoor,20th May 2019,https://www.vishvasnews.com/english/viral/fact-check-cancer-has-ph-that-is-too-acidic-is-a-false-claim/,Fact Check: Cancer has pH that is too acidic is a false claim,NA,Fb User: Sanjeev Singh,Cancer has pH that is too acidic,Cancers pH,Cancer patients,English
Urvashi Kapoor,15th May 2019,https://www.vishvasnews.com/english/viral/fact-check-post-claiming-pigeons-can-cure-hepatitis-and-cancer-is-misleading/,Fact Check: Post claiming pigeons can cure hepatitis and cancer is misleading,NA,Facebook page: The Lallu Top,Pigeons can cure hepatitis and cancer,Hepatitis and cancer cure,Patients,English
