Type,Claim,ChatGPT Selected Article,Top Matched Article,What_(Claim)
Original,This is a flying duck orchid!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,This is a flying duck orchid!
Rephrased,Observe an orchid that takes the shape of a duck mid-flight!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,This is a flying duck orchid!
Rephrased,Presenting an orchid variety that mirrors a duck gliding through the air!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,This is a flying duck orchid!
Rephrased,This particular orchid bears a striking resemblance to a duck in flight!,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,Fact Check: Viral Picture of 'Duck Orchid' is AI-Generated,This is a flying duck orchid!
Original,Rahul Gandhi said he is a Muslim,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral","Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",Rahul Gandhi said he is a Muslim
Rephrased,Rahul Gandhi has reportedly identified himself with the Islamic faith.,No clear best match found by ChatGPT.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",
Rephrased,Statements attribute Rahul Gandhi's affirmation of being Muslim.,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral","Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",Rahul Gandhi said he is a Muslim
Rephrased,Rahul Gandhi is quoted as acknowledging his Muslim identity.,Fact Check: Viral letter on RSS call to convert Muslim girls is fake and misleading,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",RSS letter allegedly talks about training Hindu youths on behalf of the Sangh to get Muslim girls to convert to Hinduism.
Original,This is a case of Love Jihad,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case,This is a case of Love Jihad
Rephrased,This instance is indicative of the phenomenon known as 'Love Jihad'.,Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case,Fact Check: This video of the giant moon emerging from the sky is edited,This is a case of Love Jihad
Rephrased,The situation at hand is being described as a manifestation of Love Jihad.,"Fact Check: In Gurugram dead body in suitcase case, accused and victim belonged to the same community, no communal angle",Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case,Love jihad case in Gurugram
Rephrased,The circumstances suggest an occurrence of what is often referred to as Love Jihad.,"Fact Check: In Gurugram dead body in suitcase case, accused and victim belonged to the same community, no communal angle",Fact Check: No Communal Angle in 'Mumbai Headless Body in Suitcase' Case,Love jihad case in Gurugram
Original,Yogendra Yadav is a Muslim and his real name is Salim,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,Yogendra Yadav is a Muslim and his real name is Salim
