Story Date,Story URL,Headline,Claim URL,What (Claim)
1st Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-picture-of-duck-orchid-is-ai-generated/,Fact Check: Viral Picture of ‘Duck Orchid’ is AI-Generated,https://www.facebook.com/happygardensFB/photos/a.425491137886131/1752392901862608/,This is a flying duck orchid!
6th Jun 2023,https://www.vishvasnews.com/english/politics/fact-check-rahul-gandhi-never-said-he-or-his-family-is-muslim-edited-breaking-plate-viral/,"Fact Check: Rahul Gandhi Never Said He Or His Family Is Muslim, Edited Breaking Plate Viral",https://www.facebook.com/photo?fbid=2454064631427182&set=a.779310992235896,Rahul Gandhi said he is a Muslim
5th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-no-communal-angle-in-mumbai-headless-body-in-suitcase-case/,Fact Check: No Communal Angle in ‘Mumbai Headless Body in Suitcase’ Case,https://www.facebook.com/TheRIGHTIndianss/photos/a.105009394429682/767296691534279/,This is a case of Love Jihad
5th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-incomplete-video-of-yogendra-yadav-being-shared-with-misleading-claims/,Fact Check: Incomplete Video of Yogendra Yadav Being Shared with Misleading Claims,https://www.facebook.com/laxman.pai.77/videos/3616827111971241,Yogendra Yadav is a Muslim and his real name is Salim
13th Jun 2023,https://www.vishvasnews.com/english/viral/fact-check-comedian-tiku-talsania-has-not-converted-to-islam-fake-post-viral/,"Fact Check: Comedian Tiku Talsania Has Not Converted To Islam, Fake Post Viral",https://www.facebook.com/reel/799371948234242,Bollywood\'s famous comedian Tiku Talsania has accepted Islam
23rd Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-of-australian-fan-chanting-vande-mataram-not-from-world-cup-2023/,Fact Check: Viral Video of Australian Fan Chanting “Vande Mataram” Not from World Cup 2023,https://www.vishvasnews.com/english/viral/fact-check-viral-video-of-australian-fan-chanting-vande-mataram-not-from-world-cup-2023/,Australian fan shouted Vande Matram after beating Pakistan
20th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-school-book-chapter-about-using-head-for-carrying-weight-is-unrelated-to-bihar-board/,Fact Check: School Book Chapter About Using Head For Carrying Weight Is Unrelated To Bihar Board,https://www.facebook.com/photo/?fbid=6989785214373757&set=a.646215515397457,This is what Bihar government is teaching in schools. Function of head: Lifting weights.
16th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-2016-video-of-cristiano-ronaldo-falsely-linked-to-israel-hamas-conflict/,Fact Check: 2016 Video Of Cristiano Ronaldo Falsely Linked To Israel-Hamas Conflict,https://www.facebook.com/ibrahim.alsabban/videos/883573429802017,"A Facebook user named Ibrahim Hassun shared this viral video on October 15, claiming that Ronaldo stands with Palestine."
18th Oct 2023,https://www.vishvasnews.com/english/viral/fact-check-agniveer-amritpal-singh-did-not-get-military-honor-due-to-suicide/,Fact Check: Agniveer Amritpal Singh Did Not Get Military Honor Because He Committed Suicide,https://twitter.com/SatyapalmalikG/status/1713113470059807076,"The Central Government is not giving martyr status to Agniveer, due to which Amritpal Singh was not given military honour."
25th Oct 2023,https://www.vishvasnews.com/english/politics/fact-check-pm-modi-did-not-appeal-to-vote-for-congress-viral-video-is-edited/,"Fact Check: PM Modi Did Not Appeal To Vote For Congress, Viral Video Is Edited",https://www.instagram.com/reel/CykmMZGrK0n/,PM Modi appealed to vote for Congress
